antropometri,人测
antropomorf,人形
antropomorfism,人形主义
anturi,草ᴬᴺᵀ
antus,鸟ᴬᴺ
anuri,无尿
anus,肛
anzu,杏ᴬᴺ
anĉ,簧
anĉov,鱼ᴬᶜ̂
anĝel,天使
aort,主脉
aortit,主脉炎
aot,猴ᴬ
apanaĝ,封ᴬ
aparat,器ᴬ
apart,独ᴬ
apartament,寓
aparten,属
apati,无情
apatosaŭr,龙ᴬᴾ
apeks,尖ᴬ
apel,诉ᴬᴾ
apelaci,上诉
apenaŭ,才ᴬ
apendic,虫垂
apendicektomi,虫垂除
apendicit,虫垂炎
aper,现ᴬ
apercept,统觉
aperitiv,开胃酒
apert,开ᴬ
apertur,孔
apetal,无瓣
apetit,欲ᴬ
api,芹ᴬ
apik,垂ᴬ
apios,豆ᴬ
aplanat,无差
aplaŭd,鼓ᴬ
aplik,用ᴬ
aplomb,稳ᴬ
apne,止ᴬ
apocin,草ᴬᴾ
apod,无足
apog,支
apoge,远ᴬ
apokalips,末启
apokrif,伪ᴬ
apolog,寓ᴬᴾ
apologi,辩ᴬᴾ
apopleksi,卒中
apostat,叛ᴬ
aposterior,后ᴬ
apostol,使ᴬᴾ
apostrof,省ᴬ
apotek,药ᴬ
apoteoz,神化
apozici,位ᴬ
apr,猪ᴬ
aprec,赏ᴬᶜ
apret,整ᴬᴾ
apretur,整ᴬᴿ
aprez,赏
april,四月
aprior,先
aprob,赞ᴬ
apterig,鸟ᴬᴾ
apud,旁
ar,群
ara,鹦ᴬ
arabesk,纹ᴬ
arabidops,草ᴬᴿᴬᴮ
arabis,草ᴬᴿᴬ
arakid,花生
araknoid,蛛膜
araknoidit,蛛膜炎
arali,木ᴬᴿ
arane,蛛
aranĝ,整ᴬ
arb,树
arbitr,擅
arbitraci,裁ᴬ
arbologi,树学
arbust,灌木
arbut,红果
ard,热ᴬ
arde,鸟ᴬ
ardez,板岩
are,面ᴬ
arek,棕ᴬ
aren,场ᴬᴿ
arenari,草ᴬᴿᴱ
areol,晕ᴬ
arest,逮
argani,木ᴬᴬ
argemon,草ᴬᴳ
argil,粘土
argiop,蛛ᴬᴳ
